id,name,score,pvalue
14700,family,17.925416,0.000024
26755,stupid,15.150077,0.000102
30140,worried,14.654190,0.000132
20997,no,13.635758,0.000227
21100,nothing,12.694646,0.000374
29559,waste,12.568196,0.000400
26843,suck,11.874212,0.000579
15483,fucking,11.789200,0.000606
15177,fool,11.416183,0.000739
15479,fuck,11.279560,0.000796
14359,evil,11.083279,0.000884
2134,Christian,11.064260,0.000893
19831,mean_per_sentence_DATE,11.058002,0.000896
25593,sister,11.034015,0.000908
15793,girlfriend,10.773523,0.001044
9115,awesome,10.742732,0.001061
25363,shit,10.473584,0.001227
19587,manager,10.434663,0.001253
10639,catch,9.952804,0.001625
18930,learning,9.893998,0.001678
