id,name,score,pvalue
28853,unnormalized_DATE,30.151966,4.403754e-08
19831,mean_per_sentence_DATE,24.369890,8.481386e-07
22283,percentage_DATE,23.691959,1.201977e-06
29638,week,17.971624,2.324790e-05
26721,student,17.334195,3.242611e-05
28047,tonight,16.271930,5.653954e-05
7650,able,15.837040,7.103108e-05
27975,today,15.001619,1.102155e-04
10767,chance,14.144622,1.732208e-04
22323,percentage_TO,13.709888,2.180088e-04
19871,mean_per_sentence_TO,13.407705,2.558638e-04
29358,vocabulary,12.332930,4.530346e-04
28893,unnormalized_TO,12.312994,4.578743e-04
27951,to,12.104118,5.118341e-04
16124,group,11.863903,5.818878e-04
15338,freaky,11.802551,6.012840e-04
18563,keyboard,11.276580,7.968378e-04
15724,get,11.142872,8.560887e-04
22291,percentage_IN,11.047086,9.012574e-04
937,?,11.044627,9.024484e-04
