id,name,score,pvalue
26086,sorority,23.190310,0.000002
15512,fun,19.663663,0.000010
22361,perhaps,19.204119,0.000012
10017,boyfriend,16.167508,0.000060
19862,mean_per_sentence_PRP,15.927449,0.000068
19877,mean_per_sentence_VBP,13.982336,0.000189
25857,so,13.937567,0.000193
22276,percentage_.,12.484425,0.000418
8205,all,12.408623,0.000435
15678,generally,12.312552,0.000458
12907,differ,11.297795,0.000788
19164,listen,11.160429,0.000848
19824,mean_per_sentence_.,10.903873,0.000973
23272,program,10.807250,0.001025
30213,write,10.618366,0.001135
23770,ready,10.469372,0.001230
27994,together,10.387944,0.001285
22314,percentage_PRP,10.384496,0.001287
19829,mean_per_sentence_CC,10.258421,0.001378
7813,acquaintance,10.180225,0.001437
