id,name,score,pvalue
21083,not,22.697085,0.000002
9410,beat,21.763796,0.000003
19832,mean_per_sentence_DT,20.418290,0.000007
24873,scared,20.393448,0.000007
17127,hurt,18.216863,0.000020
28899,unnormalized_VBP,17.856530,0.000025
14340,everything,16.608041,0.000047
22284,percentage_DT,16.477806,0.000051
16449,hate,16.157224,0.000060
29505,want,16.107376,0.000062
28884,unnormalized_PRP,15.938537,0.000067
29974,wish,15.749190,0.000074
22314,percentage_PRP,15.306689,0.000094
14817,feel,15.154502,0.000102
97,-PRON-,15.119014,0.000104
19830,mean_per_sentence_CD,14.982719,0.000111
13216,do,14.637950,0.000134
26657,stressed,13.944997,0.000193
19870,mean_per_sentence_TIME,13.837068,0.000204
24872,scare,13.669691,0.000223
