id,name,score,pvalue
19831,mean_per_sentence_DATE,45.286764,2.109144e-11
15854,go,40.850357,1.958773e-10
22323,percentage_TO,39.779853,3.358289e-10
28853,unnormalized_DATE,38.105557,7.812635e-10
16834,home,35.550844,2.841205e-09
11053,class,35.023902,3.709766e-09
16862,homework,30.515209,3.660027e-08
22311,percentage_PERSON,30.161947,4.381422e-08
12091,create,28.816479,8.700379e-08
22274,percentage_-LRB-,28.168880,1.210981e-07
28844,unnormalized_-LRB-,27.876258,1.406270e-07
19871,mean_per_sentence_TO,27.841998,1.431109e-07
19822,mean_per_sentence_-LRB-,27.608424,1.612592e-07
53,(,27.306209,1.882096e-07
24919,school,26.881548,2.338868e-07
22284,percentage_DT,24.619151,7.461680e-07
21310,of,24.302499,8.780342e-07
55,),24.248664,9.026741e-07
28845,unnormalized_-RRB-,23.749731,1.166767e-06
19823,mean_per_sentence_-RRB-,23.703810,1.194668e-06
